Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
29;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Open;-1.0;$62.22;5/17/21, 8:41 AM;;($5.48);-1.0;
30;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Close;1.0;$60.88;5/17/21, 9:11 AM;$1.34;($3.91);0.0;
31;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Open;1.0;$60.88;5/17/21, 9:11 AM;;($3.97);1.0;
32;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Close;-1.0;$61.17;5/17/21, 9:15 AM;$0.29;($3.62);0.0;
33;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Open;-1.0;$61.17;5/17/21, 9:15 AM;;($3.40);-1.0;
34;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Close;1.0;$61.47;5/17/21, 9:17 AM;($0.30);($3.93);0.0;
35;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Open;1.0;$61.47;5/17/21, 9:17 AM;;($3.69);1.0;
36;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Close;-1.0;$61.49;5/17/21, 9:22 AM;$0.01;($3.91);0.0;
37;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Open;-1.0;$61.49;5/17/21, 9:22 AM;;($3.99);-1.0;
38;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Close;1.0;$62.85;5/17/21, 9:52 AM;($1.36);($5.28);0.0;
39;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Open;1.0;$62.85;5/17/21, 9:52 AM;;($5.49);1.0;
40;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Close;-1.0;$62.76;5/17/21, 9:55 AM;($0.09);($5.37);0.0;
41;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Open;-1.0;$62.76;5/17/21, 9:55 AM;;($5.13);-1.0;
42;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Close;1.0;$62.40;5/18/21, 8:41 AM;$0.36;($5.01);0.0;
43;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Open;1.0;$62.40;5/18/21, 8:41 AM;;($4.83);1.0;
44;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Close;-1.0;$62.91;5/18/21, 8:43 AM;$0.51;($4.51);0.0;
45;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Open;-1.0;$62.91;5/18/21, 8:43 AM;;($4.60);-1.0;
46;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Close;1.0;$62.73;5/18/21, 8:45 AM;$0.18;($4.33);0.0;
47;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Open;1.0;$62.73;5/18/21, 8:45 AM;;($4.45);1.0;
48;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Close;-1.0;$62.37;5/18/21, 8:45 AM;($0.36);($4.69);0.0;
49;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Open;-1.0;$62.37;5/18/21, 8:45 AM;;($4.46);-1.0;
50;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Close;1.0;$64.87;5/18/21, 9:14 AM;($2.50);($7.19);0.0;
51;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Open;1.0;$64.87;5/18/21, 9:14 AM;;($7.36);1.0;
52;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Close;-1.0;$65.01;5/18/21, 9:18 AM;$0.13;($7.05);0.0;
53;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Open;-1.0;$65.01;5/18/21, 9:18 AM;;($6.96);-1.0;
54;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Close;1.0;$65.31;5/18/21, 9:22 AM;($0.31);($7.36);0.0;
55;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Open;1.0;$65.31;5/18/21, 9:22 AM;;($7.54);1.0;
56;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Close;-1.0;$65.13;5/18/21, 9:22 AM;($0.18);($7.54);0.0;
57;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Open;-1.0;$65.13;5/18/21, 9:22 AM;;($7.74);-1.0;
58;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Close;1.0;$65.98;5/18/21, 9:37 AM;($0.85);($8.38);0.0;
59;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Open;1.0;$65.98;5/18/21, 9:37 AM;;($8.17);1.0;
60;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Close;-1.0;$66.11;5/18/21, 9:43 AM;$0.13;($8.25);0.0;
61;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Open;-1.0;$66.11;5/18/21, 9:43 AM;;($8.01);-1.0;
62;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Close;1.0;$59.70;5/19/21, 8:45 AM;$6.41;($1.84);0.0;
63;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Open;1.0;$59.70;5/19/21, 8:45 AM;;($1.67);1.0;
64;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Close;-1.0;$59.65;5/19/21, 8:46 AM;($0.05);($1.89);0.0;
65;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Open;-1.0;$59.65;5/19/21, 8:46 AM;;($1.65);-1.0;
66;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Close;1.0;$60.31;5/19/21, 8:50 AM;($0.66);($2.55);0.0;
67;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Open;1.0;$60.31;5/19/21, 8:50 AM;;($2.67);1.0;
68;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Close;-1.0;$59.95;5/19/21, 8:50 AM;($0.36);($2.91);0.0;
69;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Open;-1.0;$59.95;5/19/21, 8:50 AM;;($3.00);-1.0;
70;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Close;1.0;$59.02;5/19/21, 9:13 AM;$0.93;($1.98);0.0;
71;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Open;1.0;$59.02;5/19/21, 9:13 AM;;($1.74);1.0;
72;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Close;-1.0;$59.09;5/19/21, 9:15 AM;$0.07;($1.91);0.0;
73;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Open;-1.0;$59.09;5/19/21, 9:15 AM;;($1.67);-1.0;
74;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Close;1.0;$59.33;5/19/21, 9:17 AM;($0.24);($2.15);0.0;
75;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Open;1.0;$59.33;5/19/21, 9:17 AM;;($2.02);1.0;
76;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Close;-1.0;$60.44;5/19/21, 9:24 AM;$1.11;($1.04);0.0;
77;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Open;-1.0;$60.44;5/19/21, 9:24 AM;;($1.18);-1.0;
78;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Close;1.0;$60.99;5/19/21, 9:26 AM;($0.55);($1.59);0.0;
79;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Open;1.0;$60.99;5/19/21, 9:26 AM;;($1.80);1.0;
80;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Close;-1.0;$60.78;5/19/21, 9:26 AM;($0.21);($1.80);0.0;
81;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Open;-1.0;$60.78;5/19/21, 9:26 AM;;($2.00);-1.0;
82;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Close;1.0;$61.19;5/19/21, 9:54 AM;($0.41);($2.21);0.0;
83;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Open;1.0;$61.19;5/19/21, 9:54 AM;;($2.40);1.0;
84;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Close;-1.0;$60.87;5/19/21, 9:56 AM;($0.32);($2.53);0.0;
85;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Open;-1.0;$60.87;5/19/21, 9:56 AM;;($2.37);-1.0;


Max trade P/L: $6.41;

Total P/L: ($2.53);

Total order(s): 42;
